Test,Hat
116.22,121.54333
136.04,125.316345
127.62,133.32985
114.19,123.98542
110.91,125.381935
129.3,136.27383
125.24,125.12198
134.83,138.45906
129.15,141.35014
133.05,124.79287
145.09,136.59682
132.18,125.80175
153.73000000000002,144.83372
114.63000000000001,125.76521
113.86,125.5373
136.26,125.79847
148.75,134.18256
112.03,121.97938
147.48,141.92805
137.42,133.49937
131.52,143.96747
129.74,133.12605
121.19,125.98152
141.39,125.4011
130.83,130.48872
142.6,134.91042
132.42,123.344635
112.89,124.09087
129.48,139.61266
134.94,138.95282
124.67,122.43105
143.55,143.83124
157.59,137.32074
142.9,132.15053
151.39,130.7727
127.25,136.72368
143.65,139.05714
137.48,130.60506
139.05,135.89693
131.64,136.61531
130.11,132.27896
125.9,134.16386
136.46,129.12093
130.66,119.418396
132.62,132.90604
129.13,121.3216
135.89,138.11546
133.5,129.68057
153.30000000000004,131.74536
118.0,135.36601
137.03,132.40417
142.01,124.95618
120.09,129.9386
157.78,136.37051
141.73,131.91045
131.97,134.6665
131.8,135.21573
114.42,125.970985
129.83,135.56027
125.28,133.91536
127.94,133.5917
127.89000000000001,131.15527
141.89,138.29372
131.28,135.74348
131.68,136.96657
119.06000000000002,126.667816
128.67,135.6887
136.56,143.05135
138.74,134.24658
126.38999999999999,125.65591
145.38,140.77962
131.39,131.09747
123.86,132.77603
130.64,137.27678
132.68,136.46042
140.91,126.92014
151.89,126.790764
144.22,128.98755
136.89,129.10748
108.48,122.22557
147.11,143.64403
133.42,128.36429
148.58,135.65851
140.49,137.57004
131.58,138.32988
141.83,130.33583
141.05,138.19112
141.62,129.71883
139.88,133.70815
166.83,134.87233
112.54,129.69415
147.09,134.33983
124.1,132.28317
126.42000000000002,129.36732
129.21,138.66312
135.77,134.72919
129.885,140.19707
126.44,128.14014
138.69,128.3923
152.68,126.010925
133.56,130.32875
167.37,140.3163
134.22,128.0979
141.1,133.69498
137.23,125.88364
134.67,133.54092
134.56,139.6086
142.91,132.89497
143.76,139.03369
124.44000000000001,129.80872
128.74,128.43755
120.98,124.35975
144.39,132.64078
130.15,132.41696
124.55,128.43938
111.54,123.571106
117.21,122.03994
143.02,135.97893
227.06,136.0459
130.56,134.81265
134.12,137.38281
142.02,143.36795
137.75,130.43143
132.03,136.15201
127.7,127.33869
125.67999999999999,124.665596
139.19,121.73354
136.57,127.5801
118.16,123.13677
132.19,135.9869
125.72,130.91924
127.63000000000001,138.09082
140.6,142.2216
128.85,122.83484
128.29,146.43756
121.22,120.97207
113.62,125.71824
122.07,121.35508
156.94,145.8222
132.58,133.35088
150.13,138.40546
120.07,134.19893
130.99,137.65582
170.40999999999997,143.90454
126.45,131.5794
117.05,120.9249
151.25,146.61882
134.06,135.35898
134.91,138.59625
122.49,130.58328
146.22,137.98898
135.72,137.0457
131.57,126.59837
137.25,135.26953
110.08,127.40963
133.71,131.06113
137.48,128.09184
123.01,122.50284
149.59,138.05577
142.32,127.094154
132.25,126.13213
122.45999999999998,120.555824
120.33,130.71027
115.21,123.89598
148.07,133.34703
146.89,135.41626
126.26,134.37294
146.33,139.52328
129.5,136.40222
133.73,134.93958
126.34,124.091194
127.11,129.61699
138.58,137.92133
156.04,135.46454
154.32,132.6761
118.66,121.82924
126.42000000000002,129.75093
117.22,118.42928
134.2,137.62402
129.55,129.25455
135.09,139.09613
139.08,139.57462
120.58,130.84673
126.0,131.29858
134.62,130.33417
130.95,129.44128
132.79,136.11023
128.44,130.41516
126.67000000000002,143.71193
130.26,140.52844
129.75,133.34413
132.35,137.09201
131.38,137.51707
152.37,137.85384
127.28,127.66434
126.25,133.60939
135.51,137.64227
132.03,136.0943
128.68,136.20866
136.09,129.5248
133.65,137.85133
148.63,129.9625
136.64,137.25325
131.92,130.97774
113.52,122.42759
153.92,133.34285
119.07,122.17824
148.4,125.592445
150.63,123.99494
130.51,120.42952
129.06,133.97049
133.98,131.29948
132.41,133.04338
126.91,130.51952
143.75,133.0484
116.37000000000002,128.48883
121.66,118.41033
127.41,133.42561
155.01,135.78864
121.52,126.7762
131.78,132.15134
132.27,135.65059
148.92,127.130325
122.86,124.72207
131.38,127.77009
138.06,129.43523
123.07,136.50237
132.15,134.45453
145.07,130.51042
118.45,122.986534
123.77,132.98885
144.75,119.06661
137.6,136.97275
127.45,135.28761
124.41,125.55316
132.78,140.38872
127.44,137.02843
132.22,133.22623
119.67,124.6562
164.52,139.4812
134.01,135.7772
138.99,134.49146
127.90000000000002,134.76141
111.62,127.26123
151.49,138.45409
143.81,139.21617
127.97,123.61417
121.41,129.38382
121.6,125.340965
116.95,123.78003
117.02,125.30205
159.02,141.27211
135.31,134.59088
142.45,141.801
148.75,131.80731
106.0555556,120.33918
138.38,139.90938
142.13,139.17584
139.81,132.42688
128.1,133.9285
131.32,136.8653
147.68,135.67903
113.22,124.4176
132.12,133.15175
152.51,141.31804
107.32,126.58034
130.02,131.976
130.73,127.91904
132.83,142.58133
151.28,125.48071
118.73,122.48266
140.25,132.7259
118.14,124.08325
142.9,137.0325
155.20999999999998,135.01859
142.48,131.34521
123.59,132.91722
156.5,139.0507
121.32,134.04993
118.07,122.129745
129.39,136.96724
131.09,133.00154
160.65000000000003,138.07767
123.64,131.5344
102.97,125.226715
135.47,130.54324
128.24,123.75897
118.82,123.650314
125.86,123.231285
135.18,135.07306
136.26,133.5261
162.39,133.53436
