Test,Hat
102.28,118.35192
134.08,128.42712
121.33,127.62471
106.43,126.334496
144.4,141.90695
137.98,136.41954
134.59,148.6203
147.9,138.67706
151.2,122.283745
127.33,136.46054
124.03,119.667984
161.56999999999996,144.84209
165.65,146.8582
134.71,139.63374
126.12999999999998,123.562065
112.62,122.75498
143.59,134.81026
134.39,134.51619
132.06,134.11093
140.1,132.32019
134.71,138.66554
128.85,135.62802
125.44,136.6781
128.51,120.18914
134.48,135.09262
134.36,126.97736
119.31000000000002,125.63796
142.5,137.30699
142.14,140.07172
140.83,137.56932
127.42,133.77072
128.52,129.59622
160.53,148.87665
125.19000000000001,119.715004
138.24,133.64682
141.46,135.7586
129.1,138.90207
140.33,123.85794
152.56,130.30031
125.66999999999999,133.62726
134.72,123.44591
121.78,126.42887
150.41,142.98802
127.56,126.32503
135.24,147.59601
129.89,131.52249
143.4,123.85552
138.38,129.40155
139.98,132.69794
115.11999999999999,133.41551
125.49,113.73962
130.19,138.08301
133.77,133.69174
149.59,142.90172
123.74,127.05802
129.75,133.08604
140.69,129.48549
133.19,132.06892
129.91,124.586136
129.32,116.31644
113.75,115.28781
134.55,137.60562
141.11,124.453606
122.13,132.40117
138.63,133.12233
149.22,133.33452
158.71000000000004,143.47308
117.17,122.397766
121.49999999999999,123.23184
127.55,136.13565
115.59999999999998,120.444176
127.26,136.17578
129.02,134.67487
153.76000000000002,114.3448
117.46,117.04113
125.47,130.07951
126.89999999999999,140.53966
150.23,138.27145
119.35,121.37649
124.70000000000002,134.44142
136.07,134.73999
140.81,123.57194
142.0,120.91786
129.68,126.86517
96.13,116.73908
113.96,120.178246
132.64,140.58133
134.47,136.09492
130.84,137.12798
127.42,127.812775
138.22,134.55617
131.42,148.41586
119.22,117.36468
145.93,129.91405
137.42,139.8489
139.83,118.27229
138.97,136.7224
146.47,136.09518
122.34,135.59909
124.17,130.84024
114.36,122.39401
144.5,135.93437
154.08,117.902855
125.12,127.57167
113.06,125.21849
133.3,136.93835
130.81,134.97285
128.24,126.50836
125.07,135.94089
140.56,126.15634
137.52,136.9098
144.5,132.4632
136.59,137.66745
146.94,140.31352
150.91,139.15251
138.43,137.74008
142.42,135.75418
121.27,136.1935
160.19,142.63802
122.62,133.46236
102.97,117.03625
135.11,141.81857
130.53,137.53134
141.14,135.58908
142.68,134.61728
